nohup: ignoring input
HTTP Server is running on port 80
HTTPS Server is running on port 443
Successfully connected to MongoDB
Got blogs
[2025-11-11T14:51:56.633Z] Blocked suspicious request from 62.169.18.6: GET /.vscode/.env
[2025-11-11T14:51:56.686Z] Blocked suspicious request from 62.169.18.6: GET /public/.env
[2025-11-11T14:51:56.743Z] Blocked suspicious request from 62.169.18.6: GET /market/.env.production
[2025-11-11T14:51:56.796Z] Blocked suspicious request from 62.169.18.6: GET /cron/.env.staging
[2025-11-11T14:51:56.848Z] Blocked suspicious request from 62.169.18.6: GET /website/.env
[2025-11-11T14:51:56.899Z] Blocked suspicious request from 62.169.18.6: GET /production/.env.production
[2025-11-11T14:51:56.952Z] Blocked suspicious request from 62.169.18.6: GET /live/.env
[2025-11-11T14:51:57.005Z] Blocked suspicious request from 62.169.18.6: GET /kyc/.env.local
[2025-11-11T14:51:57.055Z] Blocked suspicious request from 62.169.18.6: GET /server/.env.production
[2025-11-11T14:51:57.114Z] Blocked suspicious request from 62.169.18.6: GET /staging/.env
[2025-11-11T14:51:57.166Z] Blocked suspicious request from 62.169.18.6: GET /mailer/.env
[2025-11-11T14:51:57.218Z] Blocked suspicious request from 62.169.18.6: GET /backend/.env
[2025-11-11T14:51:57.274Z] Blocked suspicious request from 62.169.18.6: GET /admin/.env.staging
[2025-11-11T14:51:57.323Z] Blocked suspicious request from 62.169.18.6: GET /app/.env.production
[2025-11-11T14:51:57.372Z] Blocked suspicious request from 62.169.18.6: GET /stg/.env.staging
[2025-11-11T14:51:57.426Z] Blocked suspicious request from 62.169.18.6: GET /shop/.env.local
[2025-11-11T14:51:57.476Z] Blocked suspicious request from 62.169.18.6: GET /public/.env.staging
[2025-11-11T14:51:57.526Z] Blocked suspicious request from 62.169.18.6: GET /nodeweb/.env
[2025-11-11T14:51:57.579Z] Blocked suspicious request from 62.169.18.6: GET /prod/.env.staging
[2025-11-11T14:51:57.630Z] Blocked suspicious request from 62.169.18.6: GET /.env.sample.php
[2025-11-11T14:51:57.679Z] Blocked suspicious request from 62.169.18.6: GET /api/.env
[2025-11-11T14:51:57.731Z] Blocked suspicious request from 62.169.18.6: GET /backend/.env.staging
[2025-11-11T14:51:57.787Z] Blocked suspicious request from 62.169.18.6: GET /web/.env
[2025-11-11T14:51:57.841Z] Blocked suspicious request from 62.169.18.6: GET /shop/.env.production
[2025-11-11T14:51:57.893Z] Blocked suspicious request from 62.169.18.6: GET /BACK/.env
[2025-11-11T14:51:57.943Z] Blocked suspicious request from 62.169.18.6: GET /demo/.env.production
[2025-11-11T14:51:57.993Z] Blocked suspicious request from 62.169.18.6: GET /.env.test.local
[2025-11-11T14:51:58.044Z] Blocked suspicious request from 62.169.18.6: GET /app/.env.local
[2025-11-11T14:51:58.099Z] Blocked suspicious request from 62.169.18.6: GET /market/.env
[2025-11-11T14:51:58.152Z] Blocked suspicious request from 62.169.18.6: GET /crm/.env
[2025-11-11T14:51:58.202Z] Blocked suspicious request from 62.169.18.6: GET /cron/.env.local
[2025-11-11T14:51:58.251Z] Blocked suspicious request from 62.169.18.6: GET /live/.env.staging
[2025-11-11T14:51:58.306Z] Blocked suspicious request from 62.169.18.6: GET /current/.env.local
[2025-11-11T14:51:58.359Z] Blocked suspicious request from 62.169.18.6: GET /.envs
[2025-11-11T14:51:58.411Z] Blocked suspicious request from 62.169.18.6: GET /portal/.env.local
[2025-11-11T14:51:58.465Z] Blocked suspicious request from 62.169.18.6: GET /APP/.env
[2025-11-11T14:51:58.521Z] Blocked suspicious request from 62.169.18.6: GET /backup/.env.staging
[2025-11-11T14:51:58.573Z] Blocked suspicious request from 62.169.18.6: GET /beta/.env.local
[2025-11-11T14:51:58.622Z] Blocked suspicious request from 62.169.18.6: GET /development/.env.production
[2025-11-11T14:51:58.673Z] Blocked suspicious request from 62.169.18.6: GET /test/.env.staging
[2025-11-11T14:51:58.727Z] Blocked suspicious request from 62.169.18.6: GET /service/.env.local
[2025-11-11T14:51:58.781Z] Blocked suspicious request from 62.169.18.6: GET /laravel/.env.production
[2025-11-11T14:51:58.834Z] Blocked suspicious request from 62.169.18.6: GET /test/.env.local
[2025-11-11T14:51:58.884Z] Blocked suspicious request from 62.169.18.6: GET /develop/.env
[2025-11-11T14:51:58.935Z] Blocked suspicious request from 62.169.18.6: GET /laravel/core/.env.production
[2025-11-11T14:51:58.990Z] Blocked suspicious request from 62.169.18.6: GET /laravel/core/.env
[2025-11-11T14:51:59.042Z] Blocked suspicious request from 62.169.18.6: GET /current/.env.production
[2025-11-11T14:51:59.095Z] Blocked suspicious request from 62.169.18.6: GET /qa/.env.production
[2025-11-11T14:51:59.147Z] Blocked suspicious request from 62.169.18.6: GET /api/.env.local
[2025-11-11T14:51:59.205Z] Blocked suspicious request from 62.169.18.6: GET /web/.env.staging
[2025-11-11T14:51:59.257Z] Blocked suspicious request from 62.169.18.6: GET /cron/.env
[2025-11-11T14:51:59.309Z] Blocked suspicious request from 62.169.18.6: GET /server/.env.staging
[2025-11-11T14:51:59.361Z] Blocked suspicious request from 62.169.18.6: GET /qa/.env.local
[2025-11-11T14:51:59.412Z] Blocked suspicious request from 62.169.18.6: GET /market/.env.local
[2025-11-11T14:51:59.467Z] Blocked suspicious request from 62.169.18.6: GET /.docker/.env
[2025-11-11T14:51:59.519Z] Blocked suspicious request from 62.169.18.6: GET /new/.env.local
[2025-11-11T14:51:59.568Z] Blocked suspicious request from 62.169.18.6: GET /marketing/.env
[2025-11-11T14:51:59.627Z] Blocked suspicious request from 62.169.18.6: GET /project/.env.production
[2025-11-11T14:51:59.684Z] Blocked suspicious request from 62.169.18.6: GET /app/.env
[2025-11-11T14:51:59.737Z] Blocked suspicious request from 62.169.18.6: GET /.env.test
[2025-11-11T14:51:59.790Z] Blocked suspicious request from 62.169.18.6: GET /.envrc
[2025-11-11T14:51:59.839Z] Blocked suspicious request from 62.169.18.6: GET /laravel/.env
[2025-11-11T14:51:59.891Z] Blocked suspicious request from 62.169.18.6: GET /crm/.env.production
[2025-11-11T14:51:59.942Z] Blocked suspicious request from 62.169.18.6: GET /beta/.env.production
[2025-11-11T14:51:59.994Z] Blocked suspicious request from 62.169.18.6: GET /crm/.env.local
[2025-11-11T14:52:00.045Z] Blocked suspicious request from 62.169.18.6: GET /.environment
